danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id;cluster
0.209;0.979;-3.594;0.0774;4.52e-05;0.00496;0.317;0.517;139.775;233665;8;1;6CvWMcYXQvJ9to9BYyN079;46
0.289;0.989;-4.006;0.11;6e-06;0.179;0.122;0.198;136.419;253989;1;1;4VcN84ZdC7doe4yoIarJUA;11
0.267;0.991;-4.608;0.159;1.97e-05;0.00484;0.652;0.116;104.82;304173;7;1;5uhHBjOS6FhSWWVIBLLotY;62
0.344;0.983;-3.06;0.139;2.18e-05;0.000254;0.148;0.396;102.711;299800;0;1;3U7bYEYs8GEAh2yyyhErly;29
0.424;0.971;-7.376;0.13;7.12e-06;0.0302;0.214;0.322;146.016;230680;10;0;74pjm7MZkov3oHfPQLZKoR;11
0.325;0.856;-6.547;0.188;0.000319;0.00708;0.257;0.652;69.955;327040;4;0;6i7IXg8j7ZngiEOgBYjkhw;80
0.428;0.947;-8.516;0.0751;0.000679;0.0563;0.262;0.223;102.335;302360;10;0;34LXW73avo8xz0NLiVuiow;80
0.605;0.926;-5.083;0.0906;0.000739;0.0603;0.243;0.393;119.929;142427;0;1;0S2E13m2p0LszBBSoQnu5D;56
0.384;0.916;-6.468;0.0983;0.000611;0.422;0.14;0.192;158.042;248547;4;0;38fIaph07Kd8ZIN6l17ZJs;11
0.309;0.805;-6.696;0.103;1.3e-05;0.766;0.334;0.593;142.409;92613;2;1;0amgTTnQK7rmkXTUFFRZsY;75
0.254;0.816;-7.327;0.0506;5.82e-05;0.0634;0.0865;0.531;202.059;356920;2;1;58SUPk63baVqZ44Yko0wWL;68
0.21;0.91;-12.809;0.0591;0.000571;0.851;0.323;0.397;99.661;246000;6;0;7K5p2ZBtfDBElkrkTYgGmx;8
0.166;0.949;-6.613;0.106;0.00672;0.000152;0.212;0.402;180.639;183950;7;1;4A4weFSPsfaYN8r3xlzn27;11
0.369;0.965;-5.204;0.134;0.00913;0.00699;0.343;0.661;180.621;142744;0;1;3MaWDxMptFZ90WE5HJqClx;46
0.362;0.963;-4.564;0.0553;3.01e-05;7.63e-05;0.075;0.735;141.253;297500;8;1;7eneUniG2dwSEvkSlB5qtv;68
0.555;0.959;-4.58;0.0668;2.68e-05;0.543;0.0969;0.299;102.531;225920;1;1;4nwkxiAVNFMlF360A80vqQ;8
0.391;0.989;-2.339;0.0608;9.19e-06;0.00226;0.317;0.303;96.41;192267;1;1;6evNLVJzdRcBoXgA8Bn56f;80
0.221;0.861;-10.138;0.0678;0.000174;0.0113;0.345;0.289;186.416;310493;7;1;6jIVLU8ewF4pWLojWLUca1;46
0.2;0.874;-17.456;0.045;0.000347;0.681;0.141;0.229;96.949;323733;0;1;3A4gI48P0SrKg6SgPtvjVH;8
0.357;0.997;-4.29;0.183;7.67e-06;0.861;0.285;0.165;112.671;174587;9;0;3BHNJXo4fJGHzbFy9wamdn;47
0.251;0.978;-5.495;0.166;0.000254;0.315;0.0798;0.17;100.822;395705;4;0;1Gn1FeIYUMZ2a7PrbaaQhl;29
0.405;0.96;-4.672;0.13;9e-06;0.372;0.228;0.264;152.019;242320;0;1;3UDEQapo4aNTwmodEamAo2;11
0.517;0.924;-6.049;0.0519;2.7e-05;0.0256;0.178;0.374;124.032;250253;9;1;7DDtR2AfAcLGtSDJ0BQbhU;37
0.342;0.987;-4.42;0.205;0.000262;0.00025;0.172;0.0418;110.125;320520;3;1;0t1lDXmMWBzF6mfnQ6KwqZ;29
0.455;0.97;-4.112;0.086;1.18e-05;0.157;0.0624;0.369;90.021;241133;11;1;2IQS1gH2hzp6WAmjdWZtr1;29
0.445;0.959;-5.875;0.0612;3.16e-05;0.00678;0.178;0.365;97.974;284715;7;1;2OsCkXO8524Qxwe1pR3eAb;29
0.249;0.98;-4.487;0.0798;5.42e-05;0.19;0.269;0.319;156.02;291530;10;0;5SEXNeCl0i7Gzkw4kc9ln6;11
0.148;0.908;-7.336;0.117;4.66e-06;0.614;0.0723;0.0707;93.888;243360;9;1;4cJhBmeJ7KiBeuy7oxRnZ3;8
0.437;0.852;-7.347;0.118;5.41e-05;0.00751;0.131;0.499;129.257;402144;4;0;3WC0gsMu6HYTolvlsCEFKF;61
0.255;0.931;-3.938;0.115;0.0143;0.0839;0.158;0.437;144.755;260667;1;0;5knnuV8LT06mtp5K8Cfh8f;11
0.428;0.874;-6.664;0.128;0.000337;0.0419;0.311;0.261;119.708;212253;4;0;6ursmCnbc9oDRGa2yHKkoZ;59
